Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.18986,0.27487,-0.31454,0,0,0,162.76,4.8392,0.095847,0.01857,5.532,-0.006219,8.6291,0,0,0,0,0,0,package://SARM/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SARM/meshes/base_link.STL,,ds-2_0-0_asm.stp-1;任务盒子_副-1;卫星封盖-1;挂钩-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,1.0911E-08,0.0018897,0.061536,0,0,0,0.69371,0.0016057,-7.17E-11,-4.1405E-11,0.0015826,-4.3866E-05,0.00063348,0,0,0,0,0,0,package://SARM/meshes/link1.STL,0.43922,0.43922,0.43922,1,0,0,0,0,0,0,package://SARM/meshes/link1.STL,,关节1-1,坐标系1,基准轴1,joint1,revolute,0,0,0,0,0,1.5708,base_link,0,0,1,100,0.0873,-3.1416,3.1416,,,,,,,,
link2,0.27,0,0.12404,0,0,0,2.4574,0.0031113,1.8436E-09,-3.536E-17,0.10872,1.0895E-18,0.10693,0,0,0,0,0,0,package://SARM/meshes/link2.STL,0.43922,0.43922,0.43922,1,0,0,0,0,0,0,package://SARM/meshes/link2.STL,,关节2-1,坐标系2,基准轴2,joint2,revolute,0,0,0.095,-1.5708,0,0,link1,0,0,1,100,0.0873,-3.1416,3.1416,,,,,,,,
link3,-0.2511,2.6168E-08,-0.14997,0,0,0,1.8453,0.0019521,4.6343E-10,-0.0018369,0.026644,4.984E-10,0.02568,0,0,0,0,0,0,package://SARM/meshes/link3.STL,0.43922,0.43922,0.43922,1,0,0,0,0,0,0,package://SARM/meshes/link3.STL,,关节3-1,坐标系3,基准轴3,joint3,revolute,0.54,0,0.135,0,0,0,link2,0,0,1,100,0.0873,-3.1416,3.1416,,,,,,,,
link4,0.023288,1.6705E-07,-0.13273,0,0,0,0.57839,0.00039092,-2.1862E-11,3.0527E-05,0.0011196,7.9399E-11,0.001097,0,0,0,0,0,0,package://SARM/meshes/link4.STL,0.43922,0.43922,0.43922,1,0,0,0,0,0,0,package://SARM/meshes/link4.STL,,关节4-1,坐标系4,基准轴4,joint4,revolute,-0.43,0,-0.145,0,0,-3.1416,link3,0,0,1,100,0.0873,-3.1416,3.1416,,,,,,,,
link5,-1.6705E-07,-0.023288,0.13273,0,0,0,0.57839,0.0011196,-2.1862E-11,7.9399E-11,0.00039092,3.0527E-05,0.001097,0,0,0,0,0,0,package://SARM/meshes/link5.STL,0.43922,0.43922,0.43922,1,0,0,0,0,0,0,package://SARM/meshes/link5.STL,,关节4-2,坐标系5,基准轴5,joint5,revolute,0,0,-0.135,1.5708,0,1.5708,link4,0,0,1,100,0.0873,-3.1416,3.1416,,,,,,,,
link6,-1.1102E-16,-1.6653E-16,0.14576,0,0,0,0.44938,0.00055493,-2.5514E-20,3.2021E-20,0.00053894,7.2534E-20,0.00032719,0,0,0,0,0,0,package://SARM/meshes/link6.STL,0.41176,0.41176,0.41176,1,0,0,0,0,0,0,package://SARM/meshes/link6.STL,,手爪-1,坐标系6,基准轴6,joint6,revolute,0,0,0.135,1.5708,0,0,link5,0,0,1,100,0.0873,-6.2832,6.2832,,,,,,,,
ee,1.1102E-16,-1.6653E-16,-0.10424,0,0,0,0.44938,0.00055493,-2.3209E-20,3.2019E-20,0.00053894,2.0679E-19,0.00032719,0,0,0,0,0,0,package://SARM/meshes/ee.STL,0.41176,0.41176,0.41176,1,0,0,0,0,0,0,package://SARM/meshes/ee.STL,,手爪-1,坐标系7,,joint_ee,fixed,0,0,0.25,0,0,0,link6,0,0,0,,,,,,,,,,,,
finger1,-5.5511E-17,-0.00775,-0.0275,0,0,0,0.017988,4.8945E-06,7.4597E-22,5.5285E-22,5.2018E-06,1.2183E-21,1.0275E-06,0,0,0,0,0,0,package://SARM/meshes/finger1.STL,0.41176,0.41176,0.41176,1,0,0,0,0,0,0,package://SARM/meshes/finger1.STL,,手指-1,坐标系7,基准轴7,joint_finger1,prismatic,0,0,0.25,0,0,0,link6,0,-1,0,100,0.005,0,0.0375,,,,,,,,
finger2,-5.5511E-17,0.00775,-0.0275,0,0,0,0.017988,4.8945E-06,4.0273E-22,1.0207E-22,5.2018E-06,2.795E-22,1.0275E-06,0,0,0,0,0,0,package://SARM/meshes/finger2.STL,0.41176,0.41176,0.41176,1,0,0,0,0,0,0,package://SARM/meshes/finger2.STL,,手指-2,坐标系7,基准轴7,joint_finger2,prismatic,0,0,0.25,0,0,0,link6,0,1,0,100,0.005,0,0.0375,,,,,,,,
